DEP. ADMIN.,LOC. ESCOLA,CÓD. MUN. PROVA,NOME MUN. PROVA,CÓDIGO UF,SIGLA UF,STATUS REDAÇÃO
,,3201308,Cariacica,32,ES,3.0
,,3205200,Vila Velha,32,ES,
4.0,1.0,3205309,Vitória,32,ES,1.0
,,3201308,Cariacica,32,ES,
,,3200409,Anchieta,32,ES,1.0
,,3201308,Cariacica,32,ES,1.0
2.0,1.0,3202405,Guarapari,32,ES,
,,3202405,Guarapari,32,ES,
,,3205309,Vitória,32,ES,1.0
,,3204906,São Mateus,32,ES,
,,3205309,Vitória,32,ES,1.0
,,3201209,Cachoeiro de Itapemirim,32,ES,1.0
,,3200409,Anchieta,32,ES,1.0
2.0,1.0,3205200,Vila Velha,32,ES,1.0
,,3201506,Colatina,32,ES,1.0
2.0,1.0,3203320,Marataízes,32,ES,1.0
,,3203205,Linhares,32,ES,1.0
,,3205309,Vitória,32,ES,1.0
,,3205200,Vila Velha,32,ES,1.0
,,3205200,Vila Velha,32,ES,
,,3205002,Serra,32,ES,1.0
,,3205002,Serra,32,ES,
,,3201506,Colatina,32,ES,1.0
2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,1.0
1.0,2.0,3201506,Colatina,32,ES,1.0
,,3205309,Vitória,32,ES,1.0
2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,1.0
,,3205200,Vila Velha,32,ES,
,,3205002,Serra,32,ES,
,,3201902,Domingos Martins,32,ES,
,,3205002,Serra,32,ES,4.0
,,3201308,Cariacica,32,ES,1.0
,,3205309,Vitória,32,ES,
2.0,2.0,3205010,Sooretama,32,ES,1.0
2.0,1.0,3205309,Vitória,32,ES,1.0
,,3200904,Barra de São Francisco,32,ES,1.0
,,3203205,Linhares,32,ES,1.0
4.0,1.0,3205200,Vila Velha,32,ES,1.0
2.0,1.0,3201308,Cariacica,32,ES,1.0
2.0,1.0,3205309,Vitória,32,ES,1.0
2.0,1.0,3205002,Serra,32,ES,1.0
,,3203908,Nova Venécia,32,ES,1.0
4.0,1.0,3201506,Colatina,32,ES,1.0
2.0,1.0,3204054,Pedro Canário,32,ES,1.0
,,3205309,Vitória,32,ES,
2.0,1.0,3204054,Pedro Canário,32,ES,1.0
,,3204906,São Mateus,32,ES,1.0
1.0,1.0,3205069,Venda Nova do Imigrante,32,ES,1.0
4.0,1.0,3201308,Cariacica,32,ES,1.0
,,3205002,Serra,32,ES,
,,3201506,Colatina,32,ES,1.0
,,3205200,Vila Velha,32,ES,
,,3201308,Cariacica,32,ES,1.0
,,3205002,Serra,32,ES,1.0
